지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),clouds
184,제주,2022-04-20,15.7,,2.1,41.8,1015.1,clouds
184,제주,2022-04-21,14.7,2.7,2,69.6,1011.9,rain
184,제주,2022-04-22,17.2,,2.5,70.9,1011,clouds
184,제주,2022-04-23,18,,2.8,90.5,1009.8,clouds
184,제주,2022-04-24,17.7,,1.9,92.1,1010,clouds
184,제주,2022-04-25,21.2,14.8,2.7,81.9,1007.1,rain
184,제주,2022-04-26,19.3,25.8,5.5,92.1,1002.3,rain
184,제주,2022-04-27,17.1,,3,71.9,1012.7,clouds
184,제주,2022-04-28,17.5,,4.3,78.9,1012.7,clouds
184,제주,2022-04-29,13.6,26,3.7,88.6,1013,rain
184,제주,2022-04-30,15.1,,3.1,72.9,1016.4,clouds
184,제주,2022-05-01,14.8,,3.2,59.9,1014.5,clouds
184,제주,2022-05-02,16.7,,4.2,52,1013.9,clear
184,제주,2022-05-03,14.8,,2.5,56.9,1018.7,clear
184,제주,2022-05-04,16.6,,2.5,62.1,1018.4,clear
184,제주,2022-05-05,20.7,,2.8,60.3,1016.2,clear
184,제주,2022-05-06,20.5,,3.1,74.8,1013.7,clear
184,제주,2022-05-07,19.3,,2.3,73.9,1015.6,clouds
184,제주,2022-05-08,18.5,,3.5,76.3,1015.2,clouds
184,제주,2022-05-09,17.6,,3.7,71.9,1014.8,clouds
184,제주,2022-05-10,17.8,0.2,3.8,81,1013.3,rain
184,제주,2022-05-11,18.7,0.1,3.3,92.5,1012.1,rain
184,제주,2022-05-12,19.1,,2.9,89.6,1008.9,clouds
184,제주,2022-05-13,16.9,8.9,2.7,95.5,1006.7,rain
184,제주,2022-05-14,16.6,,2.9,61.6,1012.8,clouds
184,제주,2022-05-15,16.3,,3.1,55.5,1013.7,clouds
184,제주,2022-05-16,18,,2.7,47.4,1012.2,clouds
184,제주,2022-05-17,21,,3.2,44,1013.5,clear
184,제주,2022-05-18,21.6,,2.7,38.3,1017,clear
184,제주,2022-05-19,20.6,,2,48.6,1016.4,clouds
184,제주,2022-05-20,20.9,,2.4,71.9,1011.6,clouds
184,제주,2022-05-21,20.4,,2.6,70,1008.7,clear
184,제주,2022-05-22,21.4,,3,60,1008.5,clear
184,제주,2022-05-23,22.4,,2.7,50,1011.7,clouds
184,제주,2022-05-24,21.5,,2.2,61.6,1012,clouds
184,제주,2022-05-25,21.2,,2.4,71.4,1008.2,clouds
184,제주,2022-05-26,19.5,,3,67.8,1004.8,clouds
184,제주,2022-05-27,23.2,,4.3,37.6,1003.6,clear
184,제주,2022-05-28,21.9,,3,60.8,1005.5,clouds
184,제주,2022-05-29,21.1,0.1,2.6,76,1002.1,rain
184,제주,2022-05-30,20.3,0.1,3.2,88.5,1001,rain
184,제주,2022-05-31,20.9,,2.1,59.9,1007.4,clouds
184,제주,2022-06-01,21,,1.9,69,1005,clouds
184,제주,2022-06-02,21.7,,2.3,77.8,1006.5,clouds
184,제주,2022-06-03,21.2,,2.4,83.4,1008.1,clouds
184,제주,2022-06-04,23.5,0.1,4.5,70.3,1006.1,rain
184,제주,2022-06-05,19.1,45,4.5,94.5,996.8,rain
184,제주,2022-06-06,20.3,0.8,2.7,86.5,999.7,rain
184,제주,2022-06-07,20.7,0.7,2.1,84.5,1004.5,rain
184,제주,2022-06-08,21.4,,3.5,76.3,1008.9,clouds
184,제주,2022-06-09,21.4,,3.8,77.3,1010.7,clouds
184,제주,2022-06-10,23,,1.8,72.8,1010.5,clouds
184,제주,2022-06-11,21.6,0.4,2.9,83.5,1009.5,rain
184,제주,2022-06-12,22,,3.5,77.4,1010,clouds
184,제주,2022-06-13,20.6,11.6,3.7,88.9,1005,rain
184,제주,2022-06-14,19,13.6,3.9,98.3,1004.4,rain
184,제주,2022-06-15,23,,2.4,81.1,1006,clouds
184,제주,2022-06-16,22.3,,2.3,85.8,1007.3,clouds
184,제주,2022-06-17,22.5,,2.6,89.1,1006.5,clouds
184,제주,2022-06-18,23.9,0.1,2.6,85.4,1006.4,rain
184,제주,2022-06-19,25.1,,2.1,83.3,1005.3,clouds
184,제주,2022-06-20,23.7,,2.7,88.3,1002.3,clouds
184,제주,2022-06-21,24,0.1,3.5,89.5,1002.1,rain
184,제주,2022-06-22,23.7,,2.5,89.1,1005.9,clear
184,제주,2022-06-23,28.7,,5.1,72.6,1001.5,clouds
184,제주,2022-06-24,26.1,71.4,6,87.8,1000.3,rain
184,제주,2022-06-25,27.4,,2.6,77.6,1004.4,clouds
184,제주,2022-06-26,30,,4.4,68,1008,clouds
184,제주,2022-06-27,30.5,0.1,4.2,66.1,1006.8,rain
184,제주,2022-06-28,30.5,0.1,5,64.6,1004,rain
184,제주,2022-06-29,30.2,0.1,5,70.9,1005.3,rain
184,제주,2022-06-30,28.7,0.1,2.9,76.9,1009.5,rain
184,제주,2022-07-01,28.3,,2.3,81.6,1011.9,clear
184,제주,2022-07-02,27.6,,3.5,77.1,1009.7,clouds
184,제주,2022-07-03,28.6,0.1,3.3,76,1005.9,rain
184,제주,2022-07-04,28,0.1,3.4,81.3,1002.4,rain
184,제주,2022-07-05,28.2,0.7,2.1,81.6,1003.7,rain
184,제주,2022-07-06,30.3,,2.4,75.4,1005.2,clouds
184,제주,2022-07-07,31.8,,3.6,68.9,1004.7,clouds
184,제주,2022-07-08,29.5,,3.7,81.5,1002,clouds
184,제주,2022-07-09,28.7,,3.1,74.9,1001.5,clear
184,제주,2022-07-10,28.6,,2.3,79.6,1003.1,clouds
184,제주,2022-07-11,27.9,13.8,2.1,86.4,1004,rain
184,제주,2022-07-12,29.3,,2.6,80.8,1005.1,clouds
184,제주,2022-07-13,29.4,,2.2,79.5,1002.7,clouds
184,제주,2022-07-14,28.8,6.2,3.1,82.5,999.8,rain
184,제주,2022-07-15,26.8,14.4,2.2,89.5,998.2,rain
184,제주,2022-07-16,27.2,,3.2,83,998.7,clouds
184,제주,2022-07-17,28,0.2,2.4,75,999.8,rain
184,제주,2022-07-18,29.1,4.1,4.3,81.9,997,rain
184,제주,2022-07-19,27.8,3.3,3.4,79.4,1002.5,rain
184,제주,2022-07-20,27.4,,2.5,75.6,1004.9,clouds
184,제주,2022-07-21,27.7,0.1,5.3,77.6,1003.9,rain
184,제주,2022-07-22,27.2,,3.2,75.4,1005.7,clouds
184,제주,2022-07-23,28.3,0.1,2.6,75.6,1003.1,rain
184,제주,2022-07-24,27.4,10.7,3.8,82.4,1003.1,rain
184,제주,2022-07-25,26.9,,2.6,75.9,1007.5,clouds
184,제주,2022-07-26,27.6,,3,75.5,1007.3,clear
184,제주,2022-07-27,28.9,,3.5,75.6,1006.5,clouds
184,제주,2022-07-28,30.3,,3.4,72.6,1007.4,clouds
184,제주,2022-07-29,28.9,,4.4,84.8,1008,clouds
184,제주,2022-07-30,27.2,48.3,4,94.5,1003.5,rain
184,제주,2022-07-31,28,47.3,3.7,89.9,1000,rain
184,제주,2022-08-01,29.3,7,3.7,83,1001.6,rain
184,제주,2022-08-02,29.7,3.7,2.3,85.8,1008.5,rain
184,제주,2022-08-03,29.8,0.1,2.2,83.8,1009.5,rain
184,제주,2022-08-04,30.6,,3.1,75.9,1008.5,clear
184,제주,2022-08-05,31.3,,4,71.9,1005.7,clear
184,제주,2022-08-06,30.9,,2.7,79.5,1005,clouds
184,제주,2022-08-07,31.4,,2.9,74.5,1005.9,clouds
184,제주,2022-08-08,31.7,,2.5,65.6,1007.2,clouds
184,제주,2022-08-09,31.1,,3,65.1,1006.9,clouds
184,제주,2022-08-10,31.5,,3.3,66.8,1005.7,clouds
184,제주,2022-08-11,31.6,,3.6,67.3,1004.5,clouds
184,제주,2022-08-12,30.2,4.2,3,78.5,1004.9,rain
184,제주,2022-08-13,31.1,,2.4,75.1,1004.7,clouds
184,제주,2022-08-14,31.1,,2.4,72.5,1005.5,clouds
184,제주,2022-08-15,32.2,,5,63.8,1003.1,clouds
184,제주,2022-08-16,31,13.9,6.2,74.8,1002.9,rain
184,제주,2022-08-17,26.8,94.3,3.5,94.1,1004.6,rain
184,제주,2022-08-18,27.5,,2.3,75,1006.2,clouds
184,제주,2022-08-19,30.9,,3.7,71,1003,clouds
184,제주,2022-08-20,29.3,0.1,2.8,80.5,1001.7,rain
184,제주,2022-08-21,27.9,,3.1,80.5,1003,clouds
184,제주,2022-08-22,28.3,,2.6,77,1003,clouds
184,제주,2022-08-23,29.8,,2.4,73.1,1003.9,clouds
184,제주,2022-08-24,27.1,,3.1,72.4,1005.8,clouds
184,제주,2022-08-25,26.8,,3.3,67.9,1006.5,clouds
184,제주,2022-08-26,26.3,,2.9,70.3,1006.3,clouds
184,제주,2022-08-27,26.1,0.1,3,66.4,1008.4,rain
184,제주,2022-08-28,24.4,,3.5,70.8,1011.4,clouds
184,제주,2022-08-29,25.9,,3.5,76.4,1011.1,clouds
184,제주,2022-08-30,28.2,0.1,2.5,69,1007,rain
184,제주,2022-08-31,25.9,1.2,3.1,80.8,1006.5,rain
184,제주,2022-09-01,24.8,0.1,3.7,82.8,1009.8,rain
184,제주,2022-09-02,23.2,49.3,3.9,95.4,1009.7,rain
184,제주,2022-09-03,25.9,6.4,3.9,93.4,1007.6,rain
184,제주,2022-09-04,26.4,10.4,3.1,91.8,1005.2,rain
184,제주,2022-09-05,26.5,174,5.9,96.3,990.7,rain
184,제주,2022-09-06,23.4,2.9,7,81.1,1004.8,rain
184,제주,2022-09-07,24.2,,2.1,61.5,1015.1,clear
184,제주,2022-09-08,24.3,,2.6,70.1,1014.9,clouds
184,제주,2022-09-09,24.4,,3,75.1,1014.3,clouds
184,제주,2022-09-10,23.9,0.5,3.9,86.1,1013.4,rain
184,제주,2022-09-11,24.7,0.1,3.5,90.3,1011.2,rain
184,제주,2022-09-12,24.5,2.4,3,91.3,1010.5,rain
184,제주,2022-09-13,24.4,16.3,4.7,93.9,1010.1,rain
184,제주,2022-09-14,24.8,0.5,4.8,92.9,1009,rain
184,제주,2022-09-15,25.3,2.1,4.3,95.3,1006.2,rain
184,제주,2022-09-16,28.7,0.3,3.1,76.3,1005,rain
184,제주,2022-09-17,26.4,0.1,2.8,83.1,1004.7,rain
184,제주,2022-09-18,27.1,0.1,2.3,84.1,996.4,rain
184,제주,2022-09-19,25.1,,5.1,77,998.3,clouds
184,제주,2022-09-20,22.9,0.1,3.4,65.3,1009.8,rain
184,제주,2022-09-21,22,0.1,3.2,64.4,1014,rain
184,제주,2022-09-22,22.2,,3,77,1012.2,clouds
184,제주,2022-09-23,22.4,,2.9,72.3,1012.2,clouds
184,제주,2022-09-24,21.4,,2.7,56.6,1014.5,clouds
184,제주,2022-09-25,22.4,0.1,2.7,72,1013.5,rain
184,제주,2022-09-26,22.7,,2.3,69,1014.2,clouds
184,제주,2022-09-27,22.7,0.7,2.4,71.3,1012.9,rain
184,제주,2022-09-28,23.2,0.1,2.3,79.1,1011.4,rain
184,제주,2022-09-29,22.4,,2.3,69.5,1012.7,clouds
184,제주,2022-09-30,21.7,,2.5,66.6,1014.1,clear
184,제주,2022-10-01,22.8,,2.8,56.9,1015.4,clear
184,제주,2022-10-02,24.9,,2.1,64,1014.3,clear
184,제주,2022-10-03,26.1,,2.1,76.5,1012.6,clear
184,제주,2022-10-04,21.3,1.7,3.5,81.8,1013.3,rain
184,제주,2022-10-05,19.4,0.1,3,66.4,1018,rain
184,제주,2022-10-06,18.7,0.9,2.8,70.6,1017.5,rain
184,제주,2022-10-07,17.8,0.1,4,63.3,1018.3,rain
184,제주,2022-10-08,18,5.4,3.2,80.3,1019.6,rain
184,제주,2022-10-09,18.6,12.1,3.2,84.1,1015.1,rain
184,제주,2022-10-10,16.2,1.9,6.5,63.8,1016.8,rain
184,제주,2022-10-11,17.1,,4.6,64,1020.4,clouds
184,제주,2022-10-12,18.2,,3.1,70.4,1022.5,clear
184,제주,2022-10-13,19.4,,4.2,72,1020.4,clouds
184,제주,2022-10-14,19.5,,3.2,76.3,1017,clouds
184,제주,2022-10-15,20.4,,2.7,75.5,1016.3,clouds
184,제주,2022-10-16,20.4,,2.6,78.1,1016,clouds
184,제주,2022-10-17,16.9,,4.5,60.1,1018.3,clouds
184,제주,2022-10-18,14.7,,6.2,54.1,1021.2,clouds
184,제주,2022-10-19,15.1,,3.8,58.4,1023.9,clear
184,제주,2022-10-20,15.9,,2.8,67.1,1024.7,clear
184,제주,2022-10-21,18.5,,2.6,78,1022.1,clouds
184,제주,2022-10-22,20,,1.9,75.8,1018.8,clouds
184,제주,2022-10-23,17.5,,3.9,67.6,1017.6,clouds
184,제주,2022-10-24,15.4,,6,54.9,1020,clouds
184,제주,2022-10-25,14.8,,3.9,55.8,1024.2,clouds
184,제주,2022-10-26,17.6,,3.3,65.1,1023.5,clouds
184,제주,2022-10-27,16.9,,2,63.6,1022.5,clouds
184,제주,2022-10-28,16.5,,2.4,73.3,1022.7,clouds
184,제주,2022-10-29,18,0.1,3.8,76,1022.5,rain
184,제주,2022-10-30,17.6,,3.6,73,1021.7,clouds
184,제주,2022-10-31,17.2,,3.8,71.8,1020.7,clouds
184,제주,2022-11-01,17.5,,2.4,74.9,1019.4,clouds
184,제주,2022-11-02,16.2,,2.5,72.4,1017.9,clear
184,제주,2022-11-03,15.9,,3.2,60.6,1016.8,clouds
184,제주,2022-11-04,12.4,,4.4,59.8,1021.5,clouds
184,제주,2022-11-05,12.7,,4,59.3,1023.6,clouds
184,제주,2022-11-06,12.6,,2.7,58.9,1022.9,clear
184,제주,2022-11-07,13.7,,2.2,66.1,1021.3,clear
184,제주,2022-11-08,15,,2.2,58.5,1022.8,clear
184,제주,2022-11-09,16.5,,2.7,66,1022.5,clear
184,제주,2022-11-10,18.7,5.7,3,81,1020.5,rain
184,제주,2022-11-11,20.4,,3.3,77.3,1021.1,clouds
184,제주,2022-11-12,20.2,3.5,1.9,84.8,1014.9,rain
184,제주,2022-11-13,14.9,0.6,4.8,79.6,1015.4,rain
184,제주,2022-11-14,13.7,,3.8,68.6,1017.1,clouds
184,제주,2022-11-15,13.1,,3.2,61.4,1017.1,clouds
184,제주,2022-11-16,13.5,,2.6,69,1019.4,clouds
184,제주,2022-11-17,14.2,,2.1,73.6,1020.4,clouds
184,제주,2022-11-18,16,,3.1,78,1021.4,clouds
184,제주,2022-11-19,17.1,0.1,3.2,76.9,1018,rain
184,제주,2022-11-20,15.7,23.3,2.5,91,1016.3,rain
184,제주,2022-11-21,16.2,,2.2,78.3,1018.7,clouds
184,제주,2022-11-22,15.7,9.8,2.8,81.5,1015.9,rain
184,제주,2022-11-23,14.2,6.9,3.7,76.8,1015.7,rain
184,제주,2022-11-24,12.8,,2.2,68,1019.1,clouds
184,제주,2022-11-25,15.1,,2.3,55.3,1016.6,clouds
184,제주,2022-11-26,14.6,0.1,3,68.5,1015.9,rain
184,제주,2022-11-27,14.3,,2.4,60.1,1016.9,clouds
184,제주,2022-11-28,21.9,19.4,3.3,72.9,1010.9,rain
184,제주,2022-11-29,14.1,18.6,4.8,80.5,1014,rain
184,제주,2022-11-30,5.7,0.1,6.4,68.5,1028,snow
184,제주,2022-12-01,5.5,,3.9,63.9,1028.1,clouds
184,제주,2022-12-02,7.1,0.1,2.7,66,1026.3,rain
184,제주,2022-12-03,10.4,1.3,2,85.4,1022.7,rain
184,제주,2022-12-04,8.1,0.3,4.3,63.9,1026,rain
184,제주,2022-12-05,5.8,,5.2,61,1026.1,clouds
184,제주,2022-12-06,8.6,,4.4,55.4,1023.8,clouds
184,제주,2022-12-07,10.2,,3.4,57.5,1023.9,clouds
184,제주,2022-12-08,9,,2,61.5,1023.5,clouds
184,제주,2022-12-09,11.2,,2,59.4,1020.1,clouds
184,제주,2022-12-10,11.1,0.1,2.5,69,1017.2,rain
184,제주,2022-12-11,9.1,0.1,5.1,62.1,1020.1,rain
184,제주,2022-12-12,8.4,0.1,3.4,67.8,1019,rain
184,제주,2022-12-13,9.6,,6.4,53.6,1019.8,clouds
184,제주,2022-12-14,4.2,2.1,5.9,70.9,1025,snow
184,제주,2022-12-15,7,,2.6,60.9,1023.5,clouds
184,제주,2022-12-16,5.7,0.1,4.3,68.3,1026,snow
184,제주,2022-12-17,3.4,1.2,7,76.9,1024.1,snow
184,제주,2022-12-18,2.5,1,9,70.5,1021.8,snow
184,제주,2022-12-19,6.3,0.3,4.2,59.4,1024,snow
184,제주,2022-12-20,8.3,,2.7,70,1022.3,clouds
184,제주,2022-12-21,9.3,17.7,4.1,79.9,1010.5,rain
184,제주,2022-12-22,3.4,4.5,8.2,72,1009.2,snow
184,제주,2022-12-23,1.7,3.5,9.8,78,1013.5,snow
184,제주,2022-12-24,3.5,3.3,6.6,78,1017.2,snow
184,제주,2022-12-25,5.7,,4.4,69.4,1021.7,clouds
184,제주,2022-12-26,6.8,,3.7,68.4,1023.6,clouds
184,제주,2022-12-27,6.5,,3.5,65.8,1026.8,clouds
184,제주,2022-12-28,6.8,0.1,3.8,63.9,1028.1,rain
184,제주,2022-12-29,6,,4,63.9,1030.4,clouds
184,제주,2022-12-30,7,,3.7,55.1,1030,clouds
184,제주,2022-12-31,7,,4,58,1029.6,clouds
185,고산,2022-01-01,4.8,,5.8,61.8,1020.2,clouds
185,고산,2022-01-02,7.7,,6.8,65.8,1018.1,clouds
185,고산,2022-01-03,6.3,,6.4,68.5,1017.2,clouds
185,고산,2022-01-04,7.4,,6.5,62.5,1018,clouds
185,고산,2022-01-05,5.1,17.4,6.7,87.5,1015.3,rain
185,고산,2022-01-06,6.7,,9.1,68.1,1017.9,clouds
185,고산,2022-01-07,6.2,,6,68.6,1019.6,clouds
185,고산,2022-01-08,6.7,,7.8,67.9,1016.1,clouds
185,고산,2022-01-09,8,,6.1,66,1013.2,clouds
185,고산,2022-01-10,7.2,0.1,6.9,72,1011.1,rain
185,고산,2022-01-11,3.5,1.6,17.6,77.1,1010.8,snow
185,고산,2022-01-12,3.8,0.1,12.1,63.8,1013.4,snow
185,고산,2022-01-13,4.2,2.8,15.6,70.3,1012.1,rain
185,고산,2022-01-14,4.3,,9.3,66.1,1016.1,clouds
185,고산,2022-01-15,6.9,0.1,3.7,72.8,1014.7,rain
185,고산,2022-01-16,6.8,0.1,11.4,68.3,1016.5,rain
185,고산,2022-01-17,5.3,,11.5,66.6,1018.3,clouds
185,고산,2022-01-18,3.5,,8.4,61.1,1017.8,clouds
185,고산,2022-01-19,5.2,0.4,7.3,59.5,1015.4,rain
185,고산,2022-01-20,2.6,,9.7,65.8,1017.6,clouds
185,고산,2022-01-21,6.2,,4,66.9,1018.9,clouds
185,고산,2022-01-22,9.8,2,5.2,73.8,1014.6,rain
185,고산,2022-01-23,9.9,6.7,5.4,89.5,1008.9,rain
185,고산,2022-01-24,10.4,0.1,4.3,80.8,1010.1,rain
185,고산,2022-01-25,8.6,0.6,4.5,85.6,1012.6,rain
185,고산,2022-01-26,7,,7.5,67.6,1015.1,clouds
185,고산,2022-01-27,5.7,,8.8,69.8,1014.8,clouds
185,고산,2022-01-28,4.8,,9.8,70.3,1014.8,clouds
185,고산,2022-01-29,4.2,,9,67.1,1012,clouds
185,고산,2022-01-30,4.2,,10.6,63.5,1012.3,clouds
185,고산,2022-01-31,5.4,,8.7,59.4,1016.3,clouds
185,고산,2022-02-01,6,0.1,12.2,61.5,1017.8,rain
185,고산,2022-02-02,4.5,,8.6,65.4,1019,clouds
185,고산,2022-02-03,4.2,,8.6,58.3,1016.9,clouds
185,고산,2022-02-04,4.2,0.1,11,60.6,1016.2,snow
185,고산,2022-02-05,2.9,0.1,15.7,67.8,1017.6,snow
185,고산,2022-02-06,4.3,0.1,11.4,57.5,1020.1,snow
185,고산,2022-02-07,3.6,0.5,6.3,65.4,1017.9,snow
185,고산,2022-02-08,4.6,,8.5,58.6,1017,clouds
185,고산,2022-02-09,6.1,1.1,4.8,70.9,1015.2,rain
185,고산,2022-02-10,5.9,1.5,8.9,63.5,1014.1,rain
185,고산,2022-02-11,7.5,,5.6,47.8,1015.7,clouds
185,고산,2022-02-12,9.6,,3.4,51.6,1013.8,clouds
185,고산,2022-02-13,9.6,,4.4,71.3,1010.4,clouds
185,고산,2022-02-14,9,,7.2,71.3,1011.7,clouds
185,고산,2022-02-15,3.4,,13.3,66.6,1014.1,clouds
185,고산,2022-02-16,1.9,0.1,13.6,69,1015.1,snow
185,고산,2022-02-17,0.6,,10.3,64.3,1017.8,clouds
185,고산,2022-02-18,5.8,0.1,3.7,66.1,1017.6,rain
185,고산,2022-02-19,4.7,1.3,10.3,82.5,1014.1,rain
185,고산,2022-02-20,1.7,0.1,16.2,65.6,1017.5,snow
185,고산,2022-02-21,5,0.1,10.4,55.8,1021.1,rain
185,고산,2022-02-22,4.1,,9.6,60.3,1022.6,clouds
185,고산,2022-02-23,1.6,,10,65.9,1022.9,clouds
185,고산,2022-02-24,3.4,,10.2,61.1,1022.2,clouds
185,고산,2022-02-25,6.5,,6.4,55.5,1020.1,clear
185,고산,2022-02-26,9.4,,6.7,67.5,1013.9,clear
185,고산,2022-02-27,6.4,,7.9,56.1,1015,clear
185,고산,2022-02-28,10.3,,5.5,63.5,1012.4,clouds
185,고산,2022-03-01,9.8,1,9.4,91.3,1007.6,rain
185,고산,2022-03-02,6.4,,11.3,61.9,1011.4,clouds
185,고산,2022-03-03,10,,5.1,64.3,1011.4,clear
185,고산,2022-03-04,11.3,,5.9,73.5,1007.5,clouds
185,고산,2022-03-05,7.5,,11.2,68.8,1008.8,clouds
185,고산,2022-03-06,4.9,,10.8,61.4,1013.3,clouds
185,고산,2022-03-07,6.4,,6.4,62.3,1011.7,clouds
185,고산,2022-03-08,9.7,,4.1,65.4,1011.3,clear
185,고산,2022-03-09,9.8,,4.4,90.5,1013.4,clear
185,고산,2022-03-10,12.7,,4.6,71.1,1012.3,clouds
185,고산,2022-03-11,15.7,,5.3,79.1,1009.5,clouds
185,고산,2022-03-12,16.6,,5.8,85,1008.8,clouds
185,고산,2022-03-13,14.6,8.1,6.5,96.8,1004.5,rain
185,고산,2022-03-14,12.7,,4.1,98,1004.7,clouds
185,고산,2022-03-15,9.2,,5,90.3,1006,clear
185,고산,2022-03-16,13.5,,2.3,92,1007.4,clouds
185,고산,2022-03-17,13.4,31.3,3.3,88.6,1004.6,rain
185,고산,2022-03-18,10,17.7,8,96.5,998.9,rain
185,고산,2022-03-19,7.2,0.4,11.6,84,1003.3,rain
185,고산,2022-03-20,7.2,0.1,7,76.3,1011,rain
185,고산,2022-03-21,8.5,15.5,4.6,75.8,1013.1,rain
185,고산,2022-03-22,8.2,2,7.1,71.9,1012.1,rain
185,고산,2022-03-23,8.8,0.1,5.4,79.1,1010,rain
185,고산,2022-03-24,11.7,,4.1,67.1,1012.2,clear
185,고산,2022-03-25,16.1,15.9,10.8,88.1,1004.3,rain
185,고산,2022-03-26,11,8.6,13.8,91,999.2,rain
185,고산,2022-03-27,11.4,,8.4,63.9,1009,clouds
185,고산,2022-03-28,10.1,,6,60.4,1015.3,clouds
185,고산,2022-03-29,12.8,,3.7,69.4,1015.6,clear
185,고산,2022-03-30,16.6,,4.7,93.9,1011.6,clouds
185,고산,2022-03-31,9.9,,9,94,1014.7,clouds
185,고산,2022-04-01,10.8,,6.6,76.3,1019,clouds
185,고산,2022-04-02,9.5,,5.9,64,1019.3,clear
185,고산,2022-04-03,9.2,,6,64.9,1019.2,clear
185,고산,2022-04-04,11.5,,4,66.9,1019.4,clear
185,고산,2022-04-05,12.3,,3,64.4,1015.3,clouds
185,고산,2022-04-06,12.9,,4,82,1013.1,clear
185,고산,2022-04-07,11.9,,5.7,90.4,1011.1,clouds
185,고산,2022-04-08,14.9,,3.4,66,1011.6,clear
185,고산,2022-04-09,15.8,,5.7,77.4,1009.4,clear
185,고산,2022-04-10,18.5,,5.9,67.9,1008.6,clouds
185,고산,2022-04-11,19.9,0.1,5.1,94.8,1005,rain
185,고산,2022-04-12,18.3,0.1,4.5,97.5,1003.7,rain
185,고산,2022-04-13,18.2,5.6,3.8,94.5,1003.1,rain
185,고산,2022-04-14,15.3,5.8,4.9,87.3,1004.7,rain
185,고산,2022-04-15,13,,8.1,76.9,1007.8,clouds
185,고산,2022-04-16,12.3,,6.2,72.5,1009.9,clouds
185,고산,2022-04-17,12.9,,5.6,65.4,1011.2,clouds
185,고산,2022-04-18,14.1,,4.3,70.3,1009.8,clouds
185,고산,2022-04-19,14.3,,6,54.8,1009.7,clouds
185,고산,2022-04-20,15.3,,3.5,55.5,1008.9,clouds
185,고산,2022-04-21,14,2.7,4.2,83.8,1005.7,rain
185,고산,2022-04-22,15.9,,6.1,89.5,1005.5,clouds
185,고산,2022-04-23,17.6,1.4,2.9,96.6,1003.6,rain
185,고산,2022-04-24,17.5,,2.5,95.4,1003.6,clouds
185,고산,2022-04-25,19.8,8.6,6.8,90.9,1001.1,rain
185,고산,2022-04-26,16.5,35.9,8.7,98,996.5,rain
185,고산,2022-04-27,15.5,,6.9,80.8,1005.6,clouds
185,고산,2022-04-28,17.9,,2.9,76.9,1006.1,clouds
185,고산,2022-04-29,12.9,17.6,8.3,93.9,1005.7,rain
185,고산,2022-04-30,14.9,,4,75.6,1009.5,clouds
185,고산,2022-05-01,13.4,,7.6,65.6,1007.8,clouds
185,고산,2022-05-02,15.9,,8.2,64.6,1007.5,clouds
185,고산,2022-05-03,14.8,,4.1,57.8,1012.3,clear
185,고산,2022-05-04,15.3,,4.9,74.6,1012.4,clear
185,고산,2022-05-05,19.3,,5.4,71.9,1010.1,clear
185,고산,2022-05-06,20.1,,3.3,79.3,1007.7,clear
185,고산,2022-05-07,18.4,,5.3,79.6,1009,clouds
185,고산,2022-05-08,17.9,,4,76.4,1008.7,clouds
185,고산,2022-05-09,17.5,,4,78.9,1008,clouds
185,고산,2022-05-10,17.7,0.5,2.9,81.3,1006.7,rain
185,고산,2022-05-11,19.1,0.1,1.9,94.1,1005.6,rain
185,고산,2022-05-12,18.8,,4.3,91.9,1002.1,clouds
185,고산,2022-05-13,16.8,6.5,4.6,95.5,1000,rain
185,고산,2022-05-14,15.6,,8.8,67.3,1005.7,clouds
185,고산,2022-05-15,15,,8.6,61.8,1006.8,clouds
185,고산,2022-05-16,16.8,,4.5,64.5,1006.1,clouds
185,고산,2022-05-17,17.8,,3.6,81.5,1007.8,rain
185,고산,2022-05-18,18.7,,3.6,78.1,1011.4,clear
185,고산,2022-05-19,19.3,,3.5,61,1010.4,clouds
185,고산,2022-05-20,20.2,0.1,3.8,77,1005.4,rain
185,고산,2022-05-21,17.7,,5.3,90.5,1002.4,clouds
185,고산,2022-05-22,18.2,,4.2,90.3,1002.5,clear
185,고산,2022-05-23,20.2,,3.5,75.4,1005.7,clouds
185,고산,2022-05-24,19.8,,4.4,74.3,1005.8,clouds
185,고산,2022-05-25,19.9,,2.7,81.5,1002.2,clouds
185,고산,2022-05-26,17.6,,5.6,87.5,998.5,clouds
185,고산,2022-05-27,19.6,,3.8,89.4,998.1,clear
185,고산,2022-05-28,19.5,,4.5,95.4,1000,clouds
185,고산,2022-05-29,19.9,0.1,6.4,93.4,996,rain
185,고산,2022-05-30,19.6,,6.2,96.6,994.8,clouds
185,고산,2022-05-31,19.5,,4.3,72.9,1001.2,clouds
185,고산,2022-06-01,19.7,,4.1,85.5,999,clouds
185,고산,2022-06-02,19.9,,3.1,95.1,1000.4,clouds
185,고산,2022-06-03,21,,2.9,91.8,1001.9,clouds
185,고산,2022-06-04,22.3,2.2,6.2,81.6,1000.2,rain
185,고산,2022-06-05,19.5,60.7,6.9,97.9,989.5,rain
185,고산,2022-06-06,19.4,,6.6,95.6,993.3,clouds
185,고산,2022-06-07,20.3,,3.1,93.9,998.5,clouds
185,고산,2022-06-08,20,,3.2,89.6,1002.6,clouds
